Nr.,店名,中文店名,英文店名,类别,连锁,地址,城区
1,大明酒家/MingDynastie (West),大明酒家,Ming Dynastie (West),饭店,是,"Tauentzienstr. 9-12, 10789 Berlin",Charlottenburg
2,优米/YouMi,优米,You Mi,饭店,否,"NurnbergerStr. 28, 10789 Berlin",Charlottenburg
3,零零八六/0086,零零八六,0086,饭店,否,"Bleibtreustr. 7, 10623 Berlin",Charlottenburg
4,财神饭店/Aroma,财神饭店,Aroma,饭店,否,"Kantstr. 35, 10625 Berlin",Charlottenburg
5,老友记/GoodFriends,老友记,Good Friends,饭店,否,"Kantstr. 30, 10623 Berlin",Charlottenburg
6,好利私房菜/Holly,好利私房菜,Holly,饭店,否,"Schustehrusstr. 3, 10585 Berlin",Charlottenburg
7,多得利/DoDeLi,多得利,Do De Li,饭店,否,"Kantstr. 120, 10625 Berlin",Charlottenburg
8,璐/Lulu's,璐,Lulu's,饭店,否,"Knesebeckstr. 18-19, 10623 Berlin",Charlottenburg
9,绿食膳/GreenFlavor,绿食膳,Green Flavor,饭店,否,"Kantstr. 22, 10623 Berlin",Charlottenburg
10,老陈一品香/Chen'sWok,老陈一品香,Chen's Wok,饭店,否,"Otto-Suhr-Allee11-13, 10585 Berlin",Charlottenburg
11,新阳光/Sonne,新阳光,Sonne,饭店,否,"NeueKantstr. 16, 14057 Berlin",Charlottenburg
12,恩李菜/EnLeeCai,恩李菜,En Lee Cai,饭店,否,"Kurfurstendamm 218, 10719 Berlin",Charlottenburg
13,Ming Jia,Ming Jia,Ming Jia,饭店,否,"Schloßstr. 32, 14059 Berlin",Charlottenburg
14,德记/TakKee,德记,Tak Kee,小吃,否,"Wilmersdorfer Str. 79, 10629 Berlin",Charlottenburg
15,红豆中餐馆/Rotbohnen (Charlottenburg),红豆中餐馆,Rotbohnen (Charlottenburg),小吃,是,"WilmersdorferStr. 17, 10585 Berlin",Charlottenburg
16,土龙/TuLong,土龙,Tu Long,小吃,否,"Otto-Suhr-Allee 25, 10585 Berlin",Charlottenburg
17,Lu Kitchen (Bikini),Lu Kitchen (Bikini),Lu Kitchen (Bikini),小吃,是,"Kantini 1.OG, Bikini, Budapester Str. 38-50, 10787 Berlin",Charlottenburg
18,WenCheng (Charlottenburg),WenCheng (Charlottenburg),Wen Cheng (Charlottenburg),面馆,是,"Joachimsthaler Str. 10, 10719 Berlin",Charlottenburg
19,兰州拉面/Lanzhou Beef Noodles (Charlottenburg),兰州拉面,Lanzhou Beef Noodles (Charlottenburg),面馆,是,"Kantstr. 56, 10627 Berlin",Charlottenburg
20,桃园面馆/TaoYuanNoodlehouse,桃园面馆,Tao Yuan Noodlehouse,面馆,否,"Wilmersdorfer Str. 26, 10585 Berlin",Charlottenburg
21,Rong'sNoodlehouse,Rong's Noodlehouse,Rong's Noodlehouse,面馆,否,"Leibnizstr. 101, 10625 Berlin",Charlottenburg
22,玉面阁/JadePalast(Charlottenburg),玉面阁,Jade Palast (Charlottenburg),面馆,是,"Kantstr. 117A, 10627 Berlin",Charlottenburg
23,龙门牛肉面大王/Lon Men's Noodle House,龙门牛肉面大王,Lon Men's Noodle House,面馆,否,"Kantstr. 33, 10625 Berlin",Charlottenburg
24,伴面/BanNoodle,伴面,Ban Noodle,面馆,否,"Kantstr. 62, 10627 Berlin",Charlottenburg
25,Little Little Restaurant,Little Little Restaurant,Little Little Restaurant,面馆,否,"StuttgarterPl. 16, 10627 Berlin",Charlottenburg
26,BiangBiangMing(Bikini),Biang Biang Ming(Bikini),Biang Biang Ming(Bikini),面馆,是,"Kantini 1.OG, Bikini, Budapester Str. 38-50, 10787 Berlin",Charlottenburg
27,HanBitesKTV,HanBitesKTV,Han Bites KTV,串烧,否,"Kantstr. 120, 10625 Berlin",Charlottenburg
28,YouMi串烧,YouMi串烧,You Mi,串烧,否,"Kantstr. 56, 10627 Berlin",Charlottenburg
29,帽牌冒菜/MaoMaster,帽牌冒菜,Mao Master,麻辣烫/冒菜,否,"Kantstr. 50, 10625 Berlin",Charlottenburg
30,大碗麻辣烫/MalaHouse,大碗麻辣烫,Mala House,麻辣烫/冒菜,否,"Wilmersdorfer Str. 15, 10585 Berlin",Charlottenburg
31,小龙坎/ShooLoongKanHotpot,小龙坎,ShooLoongKan Hotpot,火锅,否,"Meinekestr. 22, 10719 Berlin",Charlottenburg
32,您好饭店/NiHao,您好饭店,Ni Hao,火锅,否,"Bismarckstr. 24, 10625 Berlin",Charlottenburg
33,大明酒家/MingDynastie (Jannowitzbrucke),大明酒家,Ming Dynastie (Jannowitzbrucke),饭店,是,"Bruckenstr. 6, 10179 Berlin",Mitte
34,嘉乐/Jolly,嘉乐,Jolly,饭店,否,"Am Kupfergraben 4, 10117 Berlin",Mitte
35,川园/ChuanGarden,川园,Chuan Garden,饭店,否,"Torstr. 189, 10115 Berlin",Mitte
36,中国城大酒楼/ChinaCity,中国城大酒楼,China City,饭店,否,"Leipziger Str. 46, 10117 Berlin",Mitte
37,倪记/Ni'sRestaurant,倪记,Ni's Restaurant,饭店,否,"Kleine Prasidentenstr. 3, 10178 Berlin",Mitte
38,太子/Prince,太子,Prince,饭店,否,"Kommandantenstr. 75, 10117 Berlin",Mitte
39,太和饭殿/PekingEnte,太和饭殿,Peking Ente,饭店,否,"Voßstr. 1, 10117 Berlin",Mitte
40,全家福/LuckyStar,全家福,Lucky Star,饭店,否,"Friedrichstr. 127, 10117 Berlin",Mitte
41,米吧/MIBAP,米吧,MIBAP,小吃,否,"Torstr. 22, 10119 Berlin",Mitte
42,饮茶英雄/Yumcha Heroes,饮茶英雄,Yumcha Heroes,小吃,否,"Weinbergsweg 8, 10119 Berlin",Mitte
43,TocaRouge,Toca Rouge,Toca Rouge,小吃,否,"Torstr. 195, 10115 Berlin",Mitte
44,DumpLing,Dump Ling,Dump Ling,小吃,否,"Alte Schönhauser Str. 44, 10119 Berlin",Mitte
45,初伍/CHUWOO,初伍,CHUWOO,小吃,否,"Inselstr. 8a, 10179 Berlin",Mite
46,Liu成都味道面馆/LiuNudelhaus,Liu成都味道面馆,Liu Nudelhaus,面馆,否,"Kronenstr. 72, 10117 Berlin",Mitte
